code	AB Upper Middle Class	C1 Lower Middle Class	C2 Skilled Working Class	DE Working Class
E00000001	50	16	1	0
E00000003	70	19	0	0
E00000005	119	31	5	8
E00000007	56	24	1	0
E00000010	26	21	3	12
E00000012	40	36	8	13
E00000013	46	20	2	4
E00000014	36	36	8	14
E00000016	101	46	4	2
E00000017	78	20	4	1
E00000018	60	21	1	1
E00000019	50	13	0	2
E00000020	65	16	2	3
E00000021	95	37	1	2
E00000022	42	24	9	17
E00000023	23	22	7	7
E00000024	83	43	7	3
E00000025	131	48	5	5
E00000026	105	45	4	1
E00000027	153	52	7	5
E00000028	61	32	1	1
E00000029	41	32	8	22
E00000030	22	39	17	17
E00000031	11	24	16	6
E00000032	12	34	23	51
E00000035	95	45	5	2
E00000037	11	22	16	45
E00000038	15	27	15	41
E00000039	17	41	24	53
E00000040	15	22	12	17
E00000041	20	19	13	19
E00000042	11	31	17	35
E00000043	8	30	29	52
E00000045	17	28	15	38
E00000046	26	46	26	28
E00000048	10	34	27	69
E00000049	24	24	20	25
E00000050	14	44	24	50
E00000051	51	55	16	29
E00000052	16	40	29	50
E00000053	20	32	27	27
E00000054	13	40	17	34
E00000055	27	25	24	25
E00000056	9	26	18	54
E00000057	6	32	18	58
E00000059	23	45	14	29
E00000060	7	15	10	21
E00000061	8	24	17	39
E00000062	56	71	23	50
E00000063	15	24	10	18
E00000064	23	25	15	25
E00000065	21	56	42	59
E00000066	15	28	30	47
E00000067	17	33	33	43
E00000068	18	28	16	33
E00000069	24	34	19	50
E00000070	8	27	34	44
E00000071	9	28	21	34
E00000072	12	25	30	27
E00000073	13	20	27	33
E00000074	6	23	24	25
E00000075	8	42	16	35
E00000076	6	22	22	38
E00000077	15	26	26	37
E00000078	11	28	25	33
E00000079	11	26	28	33
E00000080	21	55	49	62
E00000081	9	26	30	31
E00000082	11	25	21	44
E00000083	4	27	27	32
E00000084	3	24	23	44
E00000085	9	27	26	32
E00000086	10	25	28	32
E00000087	4	16	20	23
E00000088	14	21	24	34
E00000089	12	38	26	28
E00000090	10	25	19	26
E00000091	11	48	46	74
E00000092	11	33	28	45
E00000093	13	28	32	47
E00000094	12	33	31	34
E00000095	18	57	40	56
E00000096	7	30	24	33
E00000097	9	31	21	33
E00000098	15	18	28	23
E00000099	3	21	17	15
E00000100	7	41	23	47
E00000101	11	14	26	39
E00000102	8	25	28	27
E00000103	16	34	24	53
E00000104	13	28	24	38
E00000106	8	30	17	35
E00000107	10	35	21	47
E00000108	12	35	21	29
E00000109	18	28	25	32
E00000110	12	30	27	35
E00000111	20	38	29	42
E00000112	24	28	24	33
E00000113	14	38	36	28
E00000114	11	31	21	26
E00000115	11	32	21	41
E00000116	13	30	18	35
E00000117	7	25	26	41
E00000118	10	23	25	35
E00000119	5	27	18	37
E00000120	6	33	24	32
E00000121	11	43	23	35
E00000122	13	14	33	33
E00000123	8	25	19	37
E00000124	14	33	26	33
E00000125	10	31	17	61
E00000126	17	59	26	18
E00000127	35	55	35	49
E00000128	7	32	19	27
E00000129	8	25	36	42
E00000130	10	33	31	37
E00000131	10	30	22	25
E00000132	15	43	17	40
E00000133	9	36	21	30
E00000134	7	35	31	25
E00000135	6	36	17	22
E00000136	16	29	18	26
E00000137	9	40	18	41
E00000138	13	22	21	27
E00000139	8	26	20	34
E00000140	16	38	30	25
E00000141	4	41	22	64
E00000142	6	36	29	58
E00000143	11	34	17	21
E00000144	12	25	18	15
E00000145	8	11	8	13
E00000146	18	28	14	14
E00000147	10	19	20	12
E00000148	7	6	5	4
E00000149	22	40	14	20
E00000150	16	25	25	35
E00000151	22	36	34	20
E00000152	18	22	15	9
E00000153	13	26	17	22
E00000154	20	45	22	17
E00000155	21	36	16	33
E00000156	10	33	20	29
E00000157	11	29	28	24
E00000158	8	27	26	36
E00000159	12	15	24	48
E00000160	5	24	34	53
E00000161	7	32	13	42
E00000162	6	30	14	32
E00000163	13	29	20	34
E00000164	6	26	31	51
E00000165	10	23	20	26
E00000166	6	28	13	22
E00000167	9	27	15	24
E00000168	7	32	33	41
E00000169	4	28	22	45
E00000170	13	34	25	24
E00000171	10	23	20	39
E00000172	10	25	36	46
E00000173	17	35	35	26
E00000174	9	43	30	21
E00000175	16	29	26	31
E00000176	13	31	24	17
E00000177	5	15	17	27
E00000178	15	36	34	24
E00000179	9	28	25	25
E00000180	12	29	16	15
E00000181	13	31	25	14
E00000182	10	26	24	20
E00000183	13	24	17	17
E00000184	10	35	30	20
E00000185	15	22	26	18
E00000186	22	22	24	17
E00000187	12	26	19	23
E00000188	4	22	24	19
E00000189	9	31	19	13
E00000190	10	24	9	23
E00000191	19	52	23	11
E00000192	22	45	18	21
E00000193	22	46	25	26
E00000194	16	21	24	26
E00000195	20	39	23	31
E00000196	17	25	25	21
E00000197	14	23	22	22
E00000198	6	26	21	36
E00000199	17	39	37	42
E00000200	11	37	25	40
E00000201	9	43	25	25
E00000202	7	28	22	39
E00000203	17	32	33	34
E00000204	10	28	24	46
E00000205	14	23	20	60
E00000206	6	32	23	46
E00000207	11	14	27	32
E00000208	6	33	42	38
E00000209	8	28	27	27
E00000210	11	25	22	41
E00000211	15	40	18	35
E00000212	9	39	31	55
E00000213	11	32	29	41
E00000214	11	45	26	26
E00000215	10	33	21	27
E00000216	8	35	18	26
E00000217	11	29	13	40
E00000218	11	28	21	21
E00000219	10	23	21	41
E00000220	12	24	11	38
E00000221	4	27	27	51
E00000222	16	40	29	28
E00000223	10	46	25	44
E00000224	15	23	24	40
E00000225	8	29	27	44
E00000226	13	26	24	23
E00000227	11	30	19	32
E00000228	15	30	30	33
E00000229	18	34	18	41
E00000230	11	30	19	27
E00000231	8	20	19	29
E00000232	7	24	22	32
E00000234	9	35	27	42
E00000235	8	26	31	48
E00000236	6	19	13	29
E00000237	9	32	24	45
E00000238	6	34	19	57
E00000239	6	25	36	71
E00000240	17	46	32	52
E00000241	8	35	18	38
E00000242	11	23	17	42
E00000243	11	45	29	61
E00000244	12	40	13	40
E00000245	10	43	19	49
E00000246	15	26	19	25
E00000247	14	24	21	38
E00000248	5	36	25	59
E00000249	12	40	12	31
E00000250	14	38	35	65
E00000251	11	31	32	81
E00000252	14	42	16	32
E00000253	19	25	25	46
E00000254	9	36	23	50
E00000255	20	37	16	34
E00000256	12	36	18	67
E00000257	4	29	31	36
E00000258	8	37	27	49
E00000259	14	33	15	33
E00000260	11	26	18	33
E00000261	8	23	26	28
E00000263	23	65	36	60
E00000264	7	29	24	56
E00000265	8	25	27	30
E00000266	7	28	24	43
E00000267	5	33	23	28
E00000268	7	31	35	41
E00000269	15	37	23	38
E00000270	5	30	30	35
E00000271	9	28	24	38
E00000272	9	30	26	35
