code	House/bungalow	Flat/maisonette/apartment	Caravan/mobile/temporary home
E00000001	0	99	0
E00000003	9	103	0
E00000005	0	217	0
E00000007	2	81	0
E00000010	0	78	0
E00000012	1	136	0
E00000013	1	95	0
E00000014	0	132	0
E00000016	0	182	0
E00000017	0	142	0
E00000018	27	95	0
E00000019	1	84	0
E00000020	0	126	0
E00000021	5	168	0
E00000022	0	110	0
E00000023	1	87	0
E00000024	12	128	0
E00000025	6	213	0
E00000026	3	160	0
E00000027	14	209	0
E00000028	1	108	0
E00000029	0	127	0
E00000030	1	123	0
E00000031	0	77	0
E00000032	1	138	0
E00000035	3	145	0
E00000037	69	41	0
E00000038	81	35	0
E00000039	11	130	0
E00000040	5	62	0
E00000041	60	29	0
E00000042	6	138	0
E00000043	6	117	0
E00000045	25	76	1
E00000046	35	112	0
E00000048	15	128	0
E00000049	117	2	0
E00000050	8	132	0
E00000051	84	91	0
E00000052	37	120	0
E00000053	105	16	0
E00000054	103	14	0
E00000055	112	7	0
E00000056	19	94	0
E00000057	3	114	0
E00000059	5	107	0
E00000060	68	4	0
E00000061	21	83	1
E00000062	11	191	0
E00000063	62	20	0
E00000064	76	23	0
E00000065	91	97	0
E00000066	95	36	0
E00000067	59	74	0
E00000068	82	29	0
E00000069	26	105	0
E00000070	148	2	0
E00000071	109	6	0
E00000072	110	10	0
E00000073	98	18	0
E00000074	86	14	0
E00000075	107	22	0
E00000076	100	6	0
E00000077	112	18	0
E00000078	106	8	0
E00000079	124	6	0
E00000080	122	84	0
E00000081	116	5	0
E00000082	122	2	0
E00000083	110	7	0
E00000084	111	3	0
E00000085	105	9	0
E00000086	121	2	0
E00000087	71	6	0
E00000088	108	6	0
E00000089	120	7	0
E00000090	106	9	0
E00000091	133	70	0
E00000092	127	15	0
E00000093	98	46	0
E00000094	133	7	0
E00000095	115	83	0
E00000096	119	8	0
E00000097	122	2	0
E00000098	105	6	0
E00000099	17	54	0
E00000100	131	18	0
E00000101	112	1	0
E00000102	104	6	0
E00000103	124	15	0
E00000104	125	2	0
E00000106	112	8	0
E00000107	127	7	0
E00000108	102	16	0
E00000109	124	9	0
E00000110	81	36	0
E00000111	135	17	0
E00000112	111	7	0
E00000113	126	7	0
E00000114	110	1	0
E00000115	117	9	0
E00000116	115	1	0
E00000117	37	71	0
E00000118	111	1	0
E00000119	86	35	0
E00000120	116	2	0
E00000121	93	41	0
E00000122	113	4	0
E00000123	88	49	0
E00000124	110	13	0
E00000125	105	38	0
E00000126	8	125	0
E00000127	84	140	0
E00000128	92	9	0
E00000129	107	31	0
E00000130	127	5	0
E00000131	110	8	0
E00000132	127	1	0
E00000133	117	2	0
E00000134	122	4	0
E00000135	100	9	0
E00000136	113	5	0
E00000137	109	34	0
E00000138	87	32	0
E00000139	107	27	0
E00000140	130	7	0
E00000141	19	122	0
E00000142	18	139	0
E00000143	68	40	0
E00000144	110	1	0
E00000145	103	7	0
E00000146	89	7	0
E00000147	110	3	0
E00000148	44	57	0
E00000149	92	25	0
E00000150	118	3	0
E00000151	101	38	0
E00000152	85	39	0
E00000153	124	7	0
E00000154	67	61	0
E00000155	43	99	0
E00000156	84	52	0
E00000157	75	41	0
E00000158	122	24	0
E00000159	52	68	0
E00000160	118	6	0
E00000161	44	76	0
E00000162	84	27	0
E00000163	21	90	0
E00000164	16	132	0
E00000165	87	20	0
E00000166	43	47	0
E00000167	89	14	0
E00000168	143	6	0
E00000169	51	78	0
E00000170	132	2	0
E00000171	100	34	0
E00000172	154	1	1
E00000173	93	46	0
E00000174	122	5	0
E00000175	74	47	0
E00000176	115	5	0
E00000177	12	72	0
E00000178	106	26	0
E00000179	100	10	0
E00000180	92	8	0
E00000181	119	2	0
E00000182	106	4	0
E00000183	101	15	0
E00000184	117	0	0
E00000185	97	2	0
E00000186	123	3	0
E00000187	87	30	0
E00000188	105	3	0
E00000189	107	6	0
E00000190	62	41	0
E00000191	92	37	0
E00000192	100	30	0
E00000193	95	35	0
E00000194	130	5	0
E00000195	124	8	0
E00000196	108	36	0
E00000197	99	17	4
E00000198	4	93	0
E00000199	79	74	0
E00000200	118	8	0
E00000201	91	28	0
E00000202	122	8	0
E00000203	125	3	0
E00000204	114	9	0
E00000205	97	43	1
E00000206	27	101	0
E00000207	92	13	0
E00000208	124	21	0
E00000209	113	5	0
E00000210	95	32	0
E00000211	104	25	0
E00000212	24	130	0
E00000213	101	42	0
E00000214	108	19	0
E00000215	98	6	0
E00000216	112	6	0
E00000217	106	8	0
E00000218	110	4	0
E00000219	112	6	0
E00000220	91	13	0
E00000221	118	23	0
E00000222	131	12	0
E00000223	18	118	0
E00000224	111	10	0
E00000225	76	53	0
E00000226	98	12	0
E00000227	94	27	0
E00000228	126	7	0
E00000229	105	25	0
E00000230	104	10	0
E00000231	104	0	0
E00000232	100	22	0
E00000234	121	30	0
E00000235	23	91	0
E00000236	106	9	1
E00000237	137	19	0
E00000238	6	112	0
E00000239	3	138	0
E00000240	7	145	0
E00000241	3	129	0
E00000242	2	105	0
E00000243	4	146	0
E00000244	60	73	0
E00000245	5	114	0
E00000246	71	38	0
E00000247	103	18	0
E00000248	4	126	1
E00000249	47	93	0
E00000250	5	156	0
E00000251	6	128	0
E00000252	121	6	0
E00000253	6	130	0
E00000254	2	120	0
E00000255	103	22	0
E00000256	9	138	0
E00000257	87	46	0
E00000258	3	116	0
E00000259	88	17	0
E00000260	70	42	0
E00000261	69	36	0
E00000263	11	203	1
E00000264	6	118	0
E00000265	77	56	0
E00000266	125	2	1
E00000267	105	5	0
E00000268	132	4	0
E00000269	123	12	0
E00000270	116	8	0
E00000271	110	1	0
E00000272	127	5	0
E00000273	102	7	0
E00000274	106	3	0
E00000275	106	59	0
E00000276	123	68	0
E00000277	106	30	0
E00000278	79	27	0
E00000279	36	69	0
E00000280	97	3	0
E00000282	103	11	0
E00000283	106	5	0
E00000284	121	6	0
E00000285	87	5	0
E00000286	111	20	0
E00000287	111	22	0
E00000288	117	60	0
E00000289	112	6	0
E00000290	113	3	0
E00000291	97	8	0
E00000292	95	14	0
E00000293	90	14	0
E00000294	133	5	0
E00000295	114	7	0
E00000296	114	11	0
E00000297	125	1	0
E00000298	109	20	0
E00000299	109	7	0
E00000300	86	35	0
E00000301	108	24	0
E00000302	123	10	0
E00000303	128	15	0
E00000304	11	111	0
E00000305	10	126	0
E00000306	111	7	0
E00000307	98	48	0
E00000308	129	36	0
E00000309	8	104	0
E00000310	78	61	0
E00000311	132	3	0
E00000312	114	9	0
E00000313	135	9	0
E00000314	118	18	0
E00000315	110	2	0
E00000316	113	21	0
E00000317	17	83	0
E00000318	43	69	0
E00000319	114	11	0
E00000320	135	2	0
E00000321	91	32	0
E00000322	117	12	0
E00000323	69	57	0
E00000324	87	60	0
E00000325	113	19	0
E00000326	103	50	0
E00000327	3	125	0
E00000328	8	129	0
E00000329	3	127	0
E00000330	8	119	0
E00000331	79	57	0
E00000332	142	1	0
E00000333	123	1	0
E00000334	115	7	0
E00000335	117	4	0
E00000336	135	1	0
E00000337	48	69	0
E00000338	111	7	0
E00000339	113	5	0
E00000340	104	9	0
E00000341	100	34	0
E00000342	102	7	0
E00000343	129	8	0
E00000344	111	12	0
E00000345	140	1	0
E00000346	81	26	0
E00000347	120	3	0
E00000348	104	108	0
E00000349	126	1	0
E00000350	104	4	0
E00000351	134	2	0
E00000352	84	103	0
E00000353	112	12	0
E00000354	61	71	0
E00000355	77	79	0
E00000356	102	26	0
E00000357	112	39	0
E00000358	3	132	0
E00000360	100	15	0
E00000361	95	36	0
E00000362	110	1	0
E00000363	88	16	0
E00000364	95	8	0
E00000365	54	42	0
E00000366	95	9	0
E00000367	138	3	0
E00000368	103	11	0
E00000369	104	12	0
E00000370	122	2	0
E00000371	103	20	0
E00000372	108	27	0
E00000373	108	17	0
E00000374	119	10	0
E00000375	101	6	0
E00000376	124	3	0
E00000377	95	17	1
E00000378	45	81	0
E00000379	132	8	0
E00000380	135	16	0
E00000381	108	21	0
E00000382	118	8	0
E00000383	103	11	0
E00000384	114	20	0
E00000385	96	43	0
E00000386	125	3	0
E00000387	103	13	0
E00000388	103	14	0
E00000389	118	11	0
E00000390	124	12	0
E00000391	114	13	0
E00000392	109	16	0
E00000393	130	12	0
E00000394	115	0	0
E00000395	128	11	0
E00000396	104	24	0
E00000397	101	43	0
E00000398	121	8	0
E00000399	106	13	0
E00000400	121	4	0
E00000401	105	19	0
E00000402	100	17	0
E00000403	133	11	0
E00000404	126	5	0
E00000405	96	16	0
E00000406	114	10	0
E00000407	113	20	0
E00000408	110	7	1
E00000409	125	3	0
E00000410	105	6	0
E00000411	97	10	0
E00000412	82	50	0
E00000413	108	5	1
E00000414	90	20	0
E00000415	115	7	0
E00000416	103	67	0
E00000417	118	0	0
E00000418	103	35	0
E00000419	103	16	0
E00000420	91	2	0
E00000421	114	13	0
E00000422	139	6	0
E00000423	124	3	0
E00000424	86	56	0
E00000425	123	16	0
E00000426	99	5	0
E00000427	105	8	0
E00000428	119	9	0
E00000429	103	18	0
E00000430	95	15	0
E00000431	89	71	0
E00000432	116	5	4
E00000433	108	4	0
E00000434	120	13	0
E00000435	111	23	0
E00000436	116	4	0
E00000437	113	25	0
E00000438	135	16	0
E00000439	101	1	0
E00000440	120	26	0
E00000441	127	11	0
E00000442	106	23	0
E00000443	113	6	0
