code	0-15 hours	16-30 hours	31-48 hours	49+ hours
E00000001	11	15	38	38
E00000003	9	18	60	60
E00000005	17	21	124	79
E00000007	1	7	32	46
E00000010	3	7	39	10
E00000012	11	15	67	22
E00000013	6	17	51	34
E00000014	4	21	54	17
E00000016	14	14	108	62
E00000017	13	17	72	58
E00000018	9	16	62	44
E00000019	8	9	41	38
E00000020	9	10	71	53
E00000021	9	14	89	70
E00000022	3	22	73	31
E00000023	5	9	58	26
E00000024	9	11	67	99
E00000025	9	14	96	123
E00000026	12	14	104	102
E00000027	11	4	123	143
E00000028	5	3	39	50
E00000029	8	15	73	36
E00000030	13	17	78	32
E00000031	7	10	36	6
E00000032	10	34	84	17
E00000035	2	10	75	103
E00000037	23	37	86	7
E00000038	22	52	96	13
E00000039	12	35	80	10
E00000040	9	19	47	13
E00000041	13	16	73	11
E00000042	4	14	49	14
E00000043	15	44	74	12
E00000045	4	16	67	13
E00000046	11	35	106	8
E00000048	11	31	76	4
E00000049	13	41	100	18
E00000050	15	37	80	12
E00000051	17	44	167	16
E00000052	12	43	98	14
E00000053	18	44	111	25
E00000054	21	38	103	16
E00000055	27	43	108	20
E00000056	19	38	62	15
E00000057	16	40	41	7
E00000059	11	23	77	12
E00000060	4	19	52	15
E00000061	9	20	59	11
E00000062	22	35	182	19
E00000063	10	28	81	10
E00000064	11	32	76	12
E00000065	21	72	139	25
E00000066	28	59	104	16
E00000067	17	31	80	24
E00000068	28	35	101	6
E00000069	12	26	72	13
E00000070	11	30	97	14
E00000071	9	27	68	13
E00000072	8	20	84	12
E00000073	9	20	69	12
E00000074	9	18	71	13
E00000075	14	34	88	13
E00000076	16	34	71	6
E00000077	8	26	83	9
E00000078	5	27	90	11
E00000079	6	32	86	11
E00000080	24	37	157	29
E00000081	16	30	84	8
E00000082	12	29	94	7
E00000083	14	29	78	10
E00000084	10	32	62	8
E00000085	14	25	81	9
E00000086	10	21	89	11
E00000087	12	21	51	12
E00000088	10	23	65	11
E00000089	13	27	76	11
E00000090	13	25	62	19
E00000091	18	45	118	10
E00000092	12	28	96	17
E00000093	8	27	93	18
E00000094	19	34	87	11
E00000095	15	44	139	20
E00000096	10	32	66	7
E00000097	17	25	84	12
E00000098	8	20	87	13
E00000099	6	10	37	6
E00000100	10	37	89	14
E00000101	14	23	81	13
E00000102	12	28	90	11
E00000103	12	38	113	11
E00000104	23	27	98	13
E00000106	14	35	73	8
E00000107	17	32	72	8
E00000108	13	25	85	13
E00000109	17	33	71	15
E00000110	13	21	75	5
E00000111	16	34	119	18
E00000112	4	23	82	13
E00000113	10	23	123	11
E00000114	15	15	83	10
E00000115	4	28	83	10
E00000116	19	32	79	8
E00000117	9	21	48	6
E00000118	8	22	96	14
